0,1,2,3
32,9.0,57.0,61.0
33,24.0,72.0,61.0
34,9.0,57.0,45.0
35,25.0,72.0,45.0
36,57.0,72.0,61.0
37,72.0,57.0,61.0
38,57.0,72.0,45.0
39,72.0,57.0,45.0
40,9.0,57.0,29.0
41,24.0,72.0,29.0
42,9.0,57.0,13.0
43,25.0,72.0,13.0
44,57.0,72.0,29.0
45,72.0,57.0,29.0
46,57.0,72.0,13.0
47,72.0,57.0,13.0
48,9.0,24.0,61.0
49,24.0,9.0,61.0
50,9.0,25.0,45.0
51,25.0,9.0,45.0
52,57.0,9.0,61.0
53,72.0,24.0,61.0
54,57.0,9.0,45.0
55,72.0,25.0,45.0
56,9.0,24.0,29.0
57,24.0,9.0,29.0
58,9.0,25.0,13.0
59,25.0,9.0,13.0
60,57.0,9.0,29.0
61,72.0,24.0,29.0
62,57.0,9.0,13.0
63,72.0,25.0,13.0
