0,1,2,3
0,41.0,41.0,1.0
1,41.0,41.0,21.0
2,41.0,49.0,37.0
3,41.0,33.0,37.0
4,41.0,53.0,49.0
5,41.0,53.0,25.0
6,41.0,29.0,49.0
7,41.0,29.0,25.0
8,27.0,55.0,53.0
9,55.0,55.0,53.0
10,27.0,55.0,21.0
11,55.0,55.0,21.0
12,27.0,27.0,53.0
13,55.0,27.0,53.0
14,27.0,27.0,21.0
15,55.0,27.0,21.0
16,21.0,61.0,57.0
17,21.0,61.0,49.0
18,61.0,61.0,57.0
19,61.0,61.0,49.0
20,21.0,61.0,25.0
21,21.0,61.0,17.0
22,61.0,61.0,25.0
23,61.0,61.0,17.0
24,21.0,21.0,57.0
25,21.0,21.0,49.0
26,61.0,21.0,57.0
27,61.0,21.0,49.0
28,21.0,21.0,25.0
29,21.0,21.0,17.0
30,61.0,21.0,25.0
31,61.0,21.0,17.0
